res;kingdom;phylum
-3,13436488244904;Animalia;Cnidaria
-0,95845687035217;Animalia;Cnidaria
-1,13858303658269;Animalia;Cnidaria
-0,715726185762655;Animalia;Cnidaria
-0,815356026711497;Animalia;Cnidaria
-1,94295585225286;Animalia;Cnidaria
-0,0764049944831537;Animalia;Cnidaria
0,476104231737556;Animalia;Cnidaria
0,529620185077663;Animalia;Cnidaria
0,197110311243413;Animalia;Cnidaria
-0,0940379691848543;Animalia;Cnidaria
0,207437425399262;Animalia;Cnidaria
-0,316990407917407;Animalia;Cnidaria
0,323697231515125;Animalia;Cnidaria
-1,31043329350935;Animalia;Cnidaria
-0,824925477727647;Animalia;Cnidaria
-0,815356026711497;Animalia;Cnidaria
-1,24980867169291;Animalia;Cnidaria
-1,42554491640568;Animalia;Cnidaria
-2,37571183993148;Animalia;Cnidaria
0,0601127106424038;Animalia;Cnidaria
-1,23520987227176;Animalia;Cnidaria
-1,37497181464692;Animalia;Cnidaria
-1,17885693572063;Animalia;Cnidaria
-2,29201379484877;Animalia;Cnidaria
-1,4088733663226;Animalia;Cnidaria
-1,13858303658269;Animalia;Cnidaria
-1,78043692275508;Animalia;Cnidaria
-3,20830452672293;Animalia;Cnidaria
1,94439744360638;Animalia;Cnidaria
-3,78306030043815;Animalia;Cnidaria
-0,387912011884556;Animalia;Cnidaria
1,99791257520327;Animalia;Cnidaria
-0,571476576918108;Animalia;Ctenophora
0,869277701334163;Animalia;Ctenophora
2,58706814532446;Animalia;Ctenophora
-0,31602478237124;Animalia;Ctenophora
-3,55171079221501;Animalia;Ctenophora
-0,0848213140799308;Animalia;Ctenophora
-0,707142442071263;Animalia;Ctenophora
-1,00340825821444;Animalia;Ctenophora
0,495785909840001;Animalia;Ctenophora
-0,666213487208319;Animalia;Cycliophora
-0,936716883715763;Animalia;Echinodermata
-1,0266651203787;Animalia;Echinodermata
1,8605996754973;Animalia;Echinodermata
-0,926021594599016;Animalia;Echinodermata
-0,357328588512476;Animalia;Echinodermata
-1,24980867169291;Animalia;Echinodermata
-1,08728974219514;Animalia;Echinodermata
-1,61731039110076;Animalia;Echinodermata
